	nrooms	meters	floor	floors_total	flat_or_appart	zh_comp	deadline	to_metro	district	area	metro	mainprice	price_per_meter	otdelka	developer
6679	1	44,9	6	19	F	ЖК «Остров»	сдача ГК: 1 кв. 2025 года	1 минута пешком	СЗАО	р-н Хорошево-Мневники	м. Терехово 	25606470	570300		Донстрой
6680	1	94	4	8	F	ЖК «Парк Палас»		10 минут пешком	ЦАО	р-н Хамовники	м. Кропоткинская	100000000	1063830		Ramenky Realty
6681	1	59,2	6	12	F	ЖК «Вишневый сад»		7 минут на транспорте	ЗАО	р-н Раменки	м. Минская	79600000	1344595		ID 413522
6682						ЖК «Mod»	сдача ГК: 4 кв. 2024 года	6 минут пешком	СВАО	р-н Марьина роща	м. Марьина роща	18001920	439500		MR Group
6683	1	45,85	5	17	F	ЖК «Преображенская площадь»	сдача ГК: 3 кв. 2024 года	5 минут пешком	ВАО	р-н Преображенское	м. Преображенская площадь	19429743	423768		Regions Development
6684						ЖК «Wellton Towers»		10 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	21700000	563636		Место
6685	1	44,94	3	24	F	ЖК «Dream Towers»	сдача ГК: 2 кв. 2023 года	5 минут пешком	ЮАО	р-н Нагатинский затон	м. Технопарк	21396534	476113		Regions Development
6686	1	50,2	16	24	F	ЖК «HIGH LIFE Летниковская, 11»		9 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	33159459	660547		Пионер
6687	1	48,3	12	18	F	ЖК «Бадаевский»	сдача ГК: 4 кв. 2025 года	16 минут пешком	ЗАО	р-н Дорогомилово	м. Киевская	50232000	1040000		Capital Group
6688	1	53,57	3	6	A	ЖК «Клубный дом Космо 4/22»		15 минут пешком	ЦАО	р-н Замоскворечье	м. Новокузнецкая	49402254	922200		Галс-Девелопмент
6689						ЖК «River Park Towers Кутузовский»		5 минут пешком	ЗАО	р-н Дорогомилово	м. Фили	22450632	524547		Аеон-Девелопмент
6690						ЖК «ÁLIA»	сдача ГК: 2 кв. 2023 года	7 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Спартак	16122800	335472		ASTERUS
6691	1	51,2	41	66	A	ЖК «NEVA TOWERS»	дом сдан	3 минуты пешком	ЦАО	р-н Пресненский	м. Выставочная	43724800	854000		Тауэрс
6692	1	49,8	2	18	F	ЖК «Luzhniki Collection»	сдача ГК: 4 кв. 2026 года	15 минут пешком	ЦАО	р-н Хамовники	м. Воробьёвы горы	33471000	672108		Absolute Premium
6693						ЖК «Famous»	сдача ГК: 4 кв. 2023 года	5 минут пешком	ЗАО	р-н Филевский парк	м. Фили	20837134	543908		MR Group
6694						ЖК «Hide»	сдача ГК: 4 кв. 2023 года	3 минуты на транспорте	ЗАО	р-н Раменки	м. Лужники	27882490	627984		MR Group
6695	1	45,7	2	17	A	ЖК «Комплекс апартаментов Slava»	дом сдан	4 минуты пешком	САО	р-н Беговой	м. Белорусская	28845672	631196		MR Group
6696	1	76,6	4	6	F	ЖК «Обыденский №1»	сдача ГК: 1 кв. 2026 года	7 минут на транспорте	ЦАО	р-н Хамовники		186600000	2436031		Sminex-Интеко
6697	1	55,8	5	11	F	ЖК «OPUS»	сдача ГК: 3 кв. 2025 года	15 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	42587787	763222		Пионер
6698						ЖК «Lucky»	сдача ГК: 1 кв. 2023 года	7 минут пешком	ЦАО	р-н Пресненский	м. Улица 1905 года	55777772	1111111		VESPER
6699	1	57	5	8	F	ЖК «Тессинский, 1»		15 минут пешком	ЦАО	р-н Таганский	м. Китай-город	76494000	1342000		Стрелецкая Слобода
6700						ЖК «AHEAD»	сдача ГК: 4 кв. 2024 года	11 минут пешком	ЗАО	р-н Филевский парк	м. Филёвский парк	36185160	521400		VOSHOD
6701	1	53,17	2	9	A	ЖК «CULT (Апартаменты премиум-класса)»	сдача ГК: 4 кв. 2023 года	1 минута пешком	ЦАО	р-н Якиманка	м. Октябрьская	55090638	1036123		GRAVION
6702						ЖК «PRIDE»		13 минут пешком	СВАО	р-н Марьина роща	м. Савёловская	16106665	500207		Пионер
6703	1	75,3	5	11	F	ЖК «OPUS»	сдача ГК: 3 кв. 2025 года	15 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	57168738	759213		Пионер
6704						ЖК «SYMPHONY 34»		8 минут пешком	САО	р-н Савеловский	м. Дмитровская	18472662	491033	С отделкой	MR Group
6705	1	52,1	3	3	F			4 минуты пешком	ЦАО	р-н Басманный	м. Китай-город	52000000	998081		ID 413522
